"Organism","Limb_width","Limb_length","Observer","Volume"
"Chicken turtle",4.42678527962416,65.5870831414912,"Observer_2",1009.45069766992
"Chicken turtle",2.33741220298689,67.1506498688328,"Observer_2",288.144752879146
"Pink fairy armadillo",0.60433094506152,62.8055487820164,"Observer_1",18.0151367140596
"Chicken turtle",4.77706788082141,62.2408179743946,"Observer_1",1115.54732204264
"Pink fairy armadillo",3.31295841566753,55.4909673563554,"Observer_2",478.348202613885
"Raspberry crazy ant",4.81881873942912,62.9476325458416,"Observer_2",1148.02266815741
"Pink fairy armadillo",3.81645173386205,42.1561778241182,"Observer_3",482.248247118595
"Raspberry crazy ant",1.90734270953108,39.7399555169276,"Observer_1",113.546754512435
"Raspberry crazy ant",1.40326593779027,60.7061053827143,"Observer_1",93.8862990670033
"Sarcastic fringehead",2.84864512041677,41.8148427748687,"Observer_1",266.499898125154
"Raspberry crazy ant",1.93486760184169,54.2646422147681,"Observer_3",159.554600407367
"Sarcastic fringehead",2.29773007282056,58.7813348753304,"Observer_3",243.740300590052
"Pink fairy armadillo",3.79692827733234,53.2979120075773,"Observer_1",603.482754509319
"Raspberry crazy ant",1.96110103484243,52.8654856735429,"Observer_2",159.684236261168
"Chicken turtle",3.96215958674438,37.3460364843174,"Observer_3",460.466803920835
"Pink fairy armadillo",0.740408888668753,53.9370865221579,"Observer_2",23.2231224905986
"Ice cream cone worm",1.0196864844067,57.7996511833632,"Observer_3",47.2006984022575
"Chicken turtle",3.03994590039365,45.6787020652867,"Observer_1",331.539551996292
"Pink fairy armadillo",3.08280141337309,47.7422901434073,"Observer_2",356.356125171363
"Ice cream cone worm",4.74386200618464,55.8461374963607,"Observer_2",987.068101691843
"Chicken turtle",2.08210038056131,53.7963948275988,"Observer_3",183.166640831046
"Chicken turtle",1.9104954425944,71.499193357556,"Observer_3",204.966571001044
"Sarcastic fringehead",3.48103479740676,53.0352864140426,"Observer_2",504.744423186797
"Raspberry crazy ant",2.65356505631935,54.1202227475848,"Observer_2",299.301529214747
"Ice cream cone worm",2.10642726779915,26.9083112435919,"Observer_2",93.7711538477848
"Chicken turtle",1.30404602235649,56.1928353484937,"Observer_2",75.0510313982397
"Pink fairy armadillo",2.01097273270134,51.8130347974915,"Observer_1",164.566440553621
"Raspberry crazy ant",3.2849272781983,46.8060619117057,"Observer_3",396.68292167344
"Chicken turtle",2.12245598121081,43.7408908692835,"Observer_1",154.75863456633
"Chicken turtle",2.69619486068841,61.4880761845109,"Observer_1",351.061609550762
"Chicken turtle",1.39858724982478,52.3873173511144,"Observer_2",80.4813347597228
"Pink fairy armadillo",4.57462229283992,62.923059149732,"Observer_1",1034.21348005906
"Chicken turtle",3.13796721992549,65.3261062618519,"Observer_3",505.211769494972
"Ice cream cone worm",0.846498422534205,51.8367824052908,"Observer_2",29.1729416895145
"Ice cream cone worm",2.62364566351753,47.5330812153763,"Observer_2",256.978157340896
"Chicken turtle",0.93616165202111,40.5438206007439,"Observer_3",27.907198868995
"Sarcastic fringehead",3.40444430159405,33.3205806341186,"Observer_2",303.315712659712
"Pink fairy armadillo",4.12266148738563,63.9742665316465,"Observer_3",853.985603187869
"Pink fairy armadillo",3.4632379018236,33.8211729171084,"Observer_1",318.598111914236
"Sarcastic fringehead",3.52148181484081,63.7660981301448,"Observer_2",621.055803672917
"Pink fairy armadillo",1.37819859958254,47.3927410729138,"Observer_2",70.7009611389967
"Ice cream cone worm",4.03675085592549,51.1764659710013,"Observer_1",654.974007555106
"Sarcastic fringehead",2.0548051408492,68.7141800521107,"Observer_2",227.864955044543
"Pink fairy armadillo",1.18676087982021,52.3538657228486,"Observer_1",57.9115354566959
"Pink fairy armadillo",0.923497971636243,47.5802349017641,"Observer_1",31.8704616939304
"Ice cream cone worm",4.42169004057068,54.5150405307921,"Observer_2",837.110542467795
"Raspberry crazy ant",1.80189069390763,29.4675277845948,"Observer_1",75.1433353031534
"Sarcastic fringehead",0.453079907572828,40.2270363784347,"Observer_2",6.48571000344051
"Sarcastic fringehead",2.38571464649867,35.561068390282,"Observer_2",158.965058917349
"Pink fairy armadillo",0.383996946597472,47.3600708121851,"Observer_1",5.48476174103377
"Pink fairy armadillo",0.593535753292963,35.382444150041,"Observer_3",9.78974729134408
"Chicken turtle",4.01427489474881,57.8773884747518,"Observer_1",732.509104284553
"Raspberry crazy ant",3.18764607878402,49.5213225771144,"Observer_3",395.204889033286
"Sarcastic fringehead",2.51223731085192,47.1960466482975,"Observer_2",233.946647309599
"Pink fairy armadillo",1.83843717782293,58.5170932106902,"Observer_2",155.335319147398
"Sarcastic fringehead",4.28344053162728,44.6375740954874,"Observer_1",643.244303932594
"Ice cream cone worm",0.265266087697819,82.410399349424,"Observer_1",4.55444397850367
"Raspberry crazy ant",3.12445282118861,44.3573045928151,"Observer_1",340.09713382531
"Sarcastic fringehead",2.51357608432882,55.1686204431361,"Observer_1",273.757531770162
"Sarcastic fringehead",2.13220313885249,38.2203250128289,"Observer_3",136.471326808338
"Sarcastic fringehead",2.00276366425678,42.5866390372717,"Observer_1",134.159878095094
"Sarcastic fringehead",2.62385185868479,40.1808285058784,"Observer_1",217.263810153347
"Ice cream cone worm",0.804703513788991,41.3243388375261,"Observer_1",21.0168483556911
"Raspberry crazy ant",3.94133774582297,41.3448713734663,"Observer_1",504.427588868513
"Chicken turtle",4.34576824184041,48.8723403353213,"Observer_3",724.91342297623
"Ice cream cone worm",1.12349410797469,45.0070798282774,"Observer_1",44.6182276931086
"Raspberry crazy ant",3.86905016500969,50.9458352817357,"Observer_3",598.973060400997
"Ice cream cone worm",1.55188065937255,56.0070882367242,"Observer_1",105.937450598839
"Chicken turtle",0.595186620927416,38.1451991540269,"Observer_3",10.6129492748505
"Chicken turtle",2.92387900410686,47.3485494330365,"Observer_2",317.918172483064
"Pink fairy armadillo",1.65305131559726,59.603823572009,"Observer_2",127.919476381167
"Ice cream cone worm",1.04091426176019,66.5090746733669,"Observer_1",56.5979504811878
"Chicken turtle",2.78255139326211,53.6981604371355,"Observer_3",326.53946611144
"Pink fairy armadillo",3.16865904228762,44.8393616905522,"Observer_1",353.590284437309
"Pink fairy armadillo",4.77019594756421,51.6021636274575,"Observer_3",922.210857817022
"Pink fairy armadillo",0.630074794171378,49.6748974916992,"Observer_3",15.4885611029072
"Chicken turtle",2.96097444621846,56.1798581716653,"Observer_1",386.847539177483
"Raspberry crazy ant",0.820712131913751,46.3634270290475,"Observer_2",24.5271517465068
"Sarcastic fringehead",1.27860043777619,34.2986447701817,"Observer_1",44.0389077628855
"Ice cream cone worm",3.76282997869421,39.8440742139646,"Observer_3",443.08067897238
"Raspberry crazy ant",0.909960598056205,52.1453882662922,"Observer_3",33.911809334572
"Raspberry crazy ant",4.07095052429941,36.8298386769476,"Observer_2",479.381584419079
"Chicken turtle",2.278184244968,53.2430434416138,"Observer_2",217.035332960246
"Chicken turtle",1.15431579216383,58.9248586650451,"Observer_1",61.664853692925
"Ice cream cone worm",0.725757870660164,54.6273785324767,"Observer_1",22.5987152559799
"Ice cream cone worm",2.35294744670391,55.2896494089947,"Observer_2",240.413124096418
"Ice cream cone worm",0.342738334671594,54.8545997890488,"Observer_2",5.06090629991858
"Raspberry crazy ant",1.89072592090815,40.7703918492837,"Observer_3",114.470063385826
"Pink fairy armadillo",2.37709749336354,36.1175471120026,"Observer_3",160.288408743611
"Ice cream cone worm",0.941542689315975,48.8636010449386,"Observer_2",34.0216507571958
"Raspberry crazy ant",1.57559836986475,46.5399911288916,"Observer_2",90.7417651604912
"Pink fairy armadillo",3.42716573695652,63.0019867766682,"Observer_1",581.184925456855
"Chicken turtle",4.70177816294599,54.8908031752996,"Observer_1",953.045721651259
"Sarcastic fringehead",3.72125525902957,46.1122013592826,"Observer_2",501.515846174896
"Pink fairy armadillo",4.02464623842388,36.6930500718824,"Observer_3",466.798143060409
"Chicken turtle",4.28638725776691,58.4964304563335,"Observer_2",844.115854422477
"Ice cream cone worm",4.45147043317556,50.7455117717373,"Observer_2",789.758855594903
"Ice cream cone worm",0.333778926194645,64.7097223651645,"Observer_3",5.66209620441541
"Ice cream cone worm",2.78041474653874,62.0104255177858,"Observer_3",376.507610597388
"Ice cream cone worm",2.1749718897976,66.4084616597749,"Observer_3",246.72922695905
